agents,targets,model,checkpoint,avg_dir_mismatch
30,10,Kuramoto Model,4,3.556915231598555
30,10,Kuramoto Model,5,2.9722248142432357
30,10,Kuramoto Model,6,3.0098027181019193
30,10,Kuramoto Model,7,3.174060345720515
30,10,Kuramoto Model,8,3.150248073629091
30,10,Kuramoto Model,9,3.2052934993575883
30,10,Kuramoto Model,10,3.2642093497188935
30,10,Kuramoto Model,11,3.2650474953896316
30,10,Kuramoto Model,12,3.1829264025440276
30,10,Kuramoto Model,13,3.1531826573262274
30,10,Kuramoto Model,14,3.1651848105969536
30,10,Kuramoto Model,15,3.1816642009289082
30,10,Kuramoto Model,16,3.1904485320370806
30,10,Kuramoto Model,17,2.9688957829378797
30,10,Kuramoto Model,18,3.445341493904689
30,10,Kuramoto Model,19,3.0811922866844186
30,10,Kuramoto Model,20,3.0903613891382165
30,10,Kuramoto Model,21,3.1830840431428347
30,10,Kuramoto Model,22,3.096056368635641
30,10,Kuramoto Model,23,3.1914387013834236
30,10,Kuramoto Model,24,3.170455369161101
30,10,Kuramoto Model,25,3.0834554622887285
30,10,Kuramoto Model,26,3.415782196460453
30,10,Kuramoto Model,27,3.2552383725542353
30,10,Kuramoto Model,28,2.9253063831924377
30,10,Kuramoto Model,29,3.500294752202016
30,10,Kuramoto Model,30,3.3184155206617505
40,2,Majority Model,1,4.044707613633686
40,2,Majority Model,2,1.0218858519586331
40,2,Majority Model,3,1.0803188701303479
40,2,Majority Model,4,0.9713837084836291
40,2,Majority Model,5,0.5741918571098485
40,2,Majority Model,6,0.6357068069956466
40,2,Majority Model,7,0.7662428862525873
40,2,Majority Model,8,0.7840357038392185
40,2,Majority Model,9,0.6265713511422414
40,2,Majority Model,10,0.5442710566682124
40,2,Majority Model,11,0.502804055198259
40,2,Majority Model,12,0.41476956009632804
40,2,Majority Model,13,0.5428092848165541
40,2,Majority Model,14,0.5595884359795593
40,2,Majority Model,15,0.39512316685115806
40,2,Majority Model,16,0.5960825479151982
40,2,Majority Model,17,0.6195476182181932
